"GORE";"BUSH";"BUCHANAN";"NADER";"NELSON";"MCCOLLUM";"LOGAN"
"ALACHUA";47365;34124;263;3226;49091;31060;1735
"BAKER";2392;5610;73;53;3104;4578;50
"BAY";18850;38637;248;828;22914;33901;358
"BRADFORD";3075;5414;65;84;4118;4699;92
"BREVARD";97318;115185;570;4470;112255;98813;2304
"BROWARD";386565;177323;788;7101;377081;174980;6166
"CALHOUN";2155;2873;90;39;2809;2055;31
"CHARLOTTE";29645;35426;182;1461;28947;37026;746
"CITRUS";25525;29766;270;1379;27581;27056;948
"CLAY";14632;41736;186;562;16098;39055;561
"COLLIER";29918;60433;122;1399;28207;60508;822
"COLUMBIA";7047;10964;89;258;8942;9031;255
"DADE";328764;289492;560;5352;304878;264801;11796
"DE.SOTO";3320;4256;36;157;3593;3736;127
"DIXIE";1826;2697;29;75;2450;2007;36
"DUVAL";107864;152098;652;2757;121805;145930;3214
"ESCAMBIA";40943;73017;502;1727;45899;67620;771
"FLAGLER";13897;12613;83;435;13980;11988;293
"FRANKLIN";2046;2454;33;85;2499;2019;31
"GADSDEN";9735;4767;38;139;10722;4295;552
"GILCHRIST";1910;3300;29;97;2558;2561;46
"GLADES";1442;1841;9;56;1649;1620;67
"GULF";2397;3550;71;86;3393;2739;42
"HAMILTON";1722;2146;23;37;2172;1722;44
"HARDEE";2339;3765;30;75;2972;3051;88
"HENDRY";3240;4747;22;104;3760;4513;116
"HERNANDO";32644;30646;242;1501;32916;29099;1106
"HIGHLANDS";14167;20206;127;545;15102;18934;392
"HILLSBOROUGH";169557;180760;847;7490;179629;162435;6059
"HOLMES";2177;5011;76;94;3203;3553;31
"INDIAN.RIVER";19769;28627;105;950;21050;27223;545
"JACKSON";6868;9138;102;138;8648;7529;168
"JEFFERSON";3041;2478;29;76;3513;2101;139
"LAFAYETTE";789;1670;10;26;1299;1175;28
"LAKE";36571;50010;289;1460;40726;47333;800
"LEE";73560;106141;305;3587;69308;107824;2610
"LEON";61425;39053;282;1932;61728;35468;2914
"LEVY";5398;6858;67;284;6652;5797;142
"LIBERTY";1017;1317;39;19;1375;948;33
"MADISON";3014;3038;29;54;3528;2492;69
"MANATEE";49177;57952;271;2491;51396;54110;1606
"MARION";44665;55141;563;1809;48947;50896;962
"MARTIN";26620;33970;112;1118;22709;29291;476
"MONROE";16483;16059;47;1090;16588;14778;455
"NASSAU";6879;16280;90;255;8489;14413;198
"OKALOOSA";16948;52093;267;985;18693;48940;421
"OKEECHOBEE";4588;5057;43;131;5320;4410;244
"ORANGE";140220;134517;446;3879;140927;119673;3015
"OSCEOLA";28181;26212;145;732;29722;23856;624
"PALM.BEACH";269732;152951;3407;5564;269835;154528;4385
"PASCO";69564;68582;570;3393;73344;63083;2174
"PINELLAS";200629;184823;1013;10022;208927;168974;7364
"POLK";75200;90295;538;2060;81159;79837;2990
"PUTNAM";12102;13447;148;377;13124;11876;304
"SANTA.ROSA";12802;36274;311;724;14516;33684;222
"SARASOTA";72853;83100;305;4069;71434;80641;2094
"SEMINOLE";59174;75677;194;1940;63037;69865;1377
"ST.JOHNS";19502;39546;229;1217;20558;37275;930
"ST.LUCIE";41559;34705;124;1368;41082;33050;1065
"SUMTER";9637;12127;114;306;10271;11384;231
"SUWANNEE";4075;8006;108;180;5528;6789;129
"TAYLOR";2649;4056;27;59;3431;3386;105
"UNION";1407;2332;37;33;1915;1827;27
"VOLUSIA";97304;82357;496;2903;99135;76033;2554
"WAKULLA";3838;4512;46;149;4496;3778;131
"WALTON";5642;12182;120;265;6842;10295;115
"WASHINGTON";2798;4994;88;93;4065;3661;60
